"n","lambda","mse"
150,0.00109615617273762,0.47202321308455
150,0.00146154156365016,0.441407308595435
150,0.0018269269545627,0.417677424573529
150,0.00219231234547523,0.398227507605879
150,0.00255769773638777,0.381720119451957
150,0.00292308312730031,0.367379990401722
150,0.00328846851821285,0.354717960676132
150,0.00365385390912539,0.343405346286231
150,0.00401923930003793,0.333210243372406
150,0.00438462469095047,0.3239625061926
150,0.00475001008186301,0.315533229153465
150,0.00511539547277555,0.307822095016995
150,0.00548078086368809,0.30074923693508
150,0.00584616625460063,0.294249814544894
150,0.00621155164551317,0.288270287543118
150,0.0065769370364257,0.282765787334474
150,0.00694232242733824,0.277698220067333
150,0.00730770781825078,0.27303486944523
150,0.00767309320916332,0.268747348860081
150,0.00803847860007586,0.264810802656383
150,0.0084038639909884,0.261203288314035
150,0.00876924938190094,0.257905292176899
150,0.00913463477281348,0.254899345231078
150,0.00950002016372602,0.252169714859385
150,0.00986540555463856,0.249702155010926
150,0.0102307909455511,0.247483701799377
150,0.0105961763364636,0.245502504805042
150,0.0109615617273762,0.243747686713151
150,0.0113269471182887,0.242209225646384
150,0.0116923325092013,0.240877855827535
150,0.0120577179001138,0.239744983165073
150,0.0124231032910263,0.238802613078077
150,0.0127884886819389,0.238043288429658
150,0.0131538740728514,0.237460035863781
150,0.0135192594637639,0.237046319171185
150,0.0138846448546765,0.236795998569162
150,0.014250030245589,0.23670329498432
150,0.0146154156365016,0.236762758589799
150,0.0149808010274141,0.236969240978326
150,0.0153461864183266,0.237317870456956
150,0.0157115718092392,0.237804030034018
150,0.0160769572001517,0.238423337737682
150,0.0164423425910643,0.239171628961994
150,0.0168077279819768,0.240044940582672
150,0.0171731133728893,0.241039496623334
150,0.0175384987638019,0.242151695284794
150,0.0179038841547144,0.243378097176651
150,0.018269269545627,0.244715414612757
150,0.0186346549365395,0.246160501850965
150,0.019000040327452,0.247710346173401
150,0.0193654257183646,0.24936205971704
150,0.0197308111092771,0.251112871975806
150,0.0200961965001897,0.252960122905236
150,0.0204615818911022,0.254901256569165
150,0.0208269672820147,0.25693381527512
150,0.0211923526729273,0.259055434151336
150,0.0215577380638398,0.261263836123732
150,0.0219231234547523,0.263556827255876
150,0.0222885088456649,0.265932292419014
150,0.0226538942365774,0.268388191262849
150,0.02301927962749,0.270922554460839
150,0.0233846650184025,0.273533480206534
150,0.023750050409315,0.276219130939875
150,0.0241154358002276,0.27897773028449
150,0.0244808211911401,0.281807560178915
150,0.0248462065820527,0.284706958186305
150,0.0252115919729652,0.287674314968693
150,0.0255769773638777,0.290708071913144
150,0.0259423627547903,0.293806718898341
150,0.0263077481457028,0.296968792191162
150,0.0266731335366154,0.300192872463749
