"omega","p0x","px0","n","estimator","mean","var","bias","bias_sq","mse"
2,0.66,0.5,5000,"estimate_c05",0.694642163486371,0.0036023204628966,0.00149498292642558,2.23497395030399e-06,0.0036045554368469
2,0.66,0.5,5000,"estimate_mle",0.694994834010475,0.00360620395708759,0.00184765345052984,3.41382327325483e-06,0.00360961778036085
2,0.66,0.5,5000,"estimate_oracle",0.690002845630798,0.00355155233953946,-0.00314433492914745,9.88684214665671e-06,0.00356143918168612
2,0.66,0.5,5000,"estimate_pi",0.689996825429405,0.00364980147310295,-0.00315035513054074,9.92473744852435e-06,0.00365972621055147
2,0.66,0.5,10000,"estimate_c05",0.692813004616594,0.00183441190955155,-0.000334175943351389,1.11673561114791e-07,0.00183452358311267
2,0.66,0.5,10000,"estimate_mle",0.692988768641365,0.00183540309958129,-0.000158411918580681,2.50943359484123e-08,0.00183542819391724
2,0.66,0.5,10000,"estimate_oracle",0.690490869573386,0.00182144131083707,-0.00265631098655972,7.05598805731786e-06,0.00182849729889439
2,0.66,0.5,10000,"estimate_pi",0.690481600683842,0.00184652849017422,-0.00266557987610372,7.10531607588912e-06,0.0018536338062501
2,0.66,0.9,500,"estimate_c05",0.697088016453043,0.0897560018558803,0.00394083589309802,1.55301875363296e-05,0.0897715320434167
2,0.66,0.9,500,"estimate_mle",0.69802528537703,0.0933387568041523,0.00487810481708484,2.37959066064663e-05,0.0933625527107588
2,0.66,0.9,500,"estimate_oracle",0.6518540357523,0.0809462142839909,-0.0412931448076452,0.00170512380810516,0.0826513380920961
2,0.66,0.9,500,"estimate_pi",0.651043701095995,0.0964414438671671,-0.0421034794639502,0.00177270298297128,0.0982141468501384
2,0.66,0.9,1000,"estimate_c05",0.690093871919871,0.0459137917666002,-0.00305330864007436,9.32269365155273e-06,0.0459231144602517
2,0.66,0.9,1000,"estimate_mle",0.69049345863796,0.0467862070963088,-0.00265372192198554,7.04224003922663e-06,0.046793249336348
2,0.66,0.9,1000,"estimate_oracle",0.666917546941693,0.0435843666897613,-0.0262296336182527,0.000687993679747772,0.0442723603695091
